date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2017-01-01,125,134.7,165.9,115.1,76.4,132.6
2017-04-01,121.4,140.8,159.3,107.7,75.3,127.8
2017-07-01,119.7,130.2,152.5,111.3,74.4,120.5
2017-10-01,115.3,118.4,155.8,111.9,74.6,113
2018-01-01,114.4,119.7,156.9,105.4,74.8,108.1
2018-04-01,109,108,145.9,93.6,73.6,106.2
2018-07-01,108.1,107.5,137.5,95.5,70.9,103.7
2018-10-01,105.4,107.1,141.2,89.5,73.2,103.3
2019-01-01,99.2,114.4,135.9,86.3,72.6,98.3
2019-04-01,102.1,112.7,134.9,85.2,70.7,95.5
2019-07-01,101.6,115.9,135,78.6,70.5,94.5
2019-10-01,101.9,113.5,136.8,85,71.9,92.1
2020-01-01,94.3,108.5,136.6,85.8,72.4,90.9
2020-04-01,110.7,155.4,180.7,117.7,81,126.5
2020-07-01,105.6,166.8,162.5,126.8,83.5,147.7
2020-10-01,115.1,170.6,160.2,116.4,83,138.3
2021-01-01,101.3,161.7,156.9,96.2,81.6,123.2
2021-04-01,80.6,145.1,145.2,87,77.8,98.3
2021-07-01,80.8,131.4,134.6,76,66.4,74.4
2021-10-01,80.8,123.7,132.2,73.5,66.8,70.1
2022-01-01,76.1,124.2,102.4,68.7,69.1,59
2022-04-01,77.8,130.9,108.4,77.8,72.5,59.3
